a lot	a lot: adv. muito
squib	<i> n</i><b> 1</b> sátira, crítica, sarcasmo.<b> 2</b> rojão, busca-pé. • <i>vt+vi</i> <b>1 </b>escrever sátiras. <b>2 </b>soltar fogos. <b>a damp squib </b><i>Brit coll </i>uma decepção, algo que falha no seu propósito.
squidgy	<b> </b><i>adj Brit coll </i>pastoso, mole e úmido.
squiffy	<i>adj</i> = <b>squiffed.</b>
stably	<i>adv</i><b> </b>de maneira<b> </b>estável, firmemente, solidamente.
stadium	<i> n</i> (<i>pl</i> <b>stadia</b>) <b>1 </b>estádio, estádia.<b> 2</b><i> Med</i> fase, período.
staff	<i>n</i> (<i>pl </i><b>staffs,</b> <b>staves</b>)<b> 1</b> pau, bastão, mastro, vara, bengala.<b> 2</b> esteio, suporte, sustento, apoio.<b> 3</b> grupo ou corpo de assistentes, pessoal, corpo docente, quadro de funcionários, assessoria.<b> 4</b> estado maior (de exército ou marinha). <b>5</b><i> Mus</i><b> </b>pauta. <b>6 </b>material de construção de gesso e fibra. •<b> </b><i>vt</i> colocar pessoal ou assistentes. • <i>adj </i>referente a pessoal, a corpo de assistentes. <b>editorial</b> <b>staff</b> redação.<b> staff of life </b>pão (considerado como alimento básico). <b>the General Staff </b>o estado-maior. <b>the house is under-staffed </b>(<b>well-staffed</b>)<b> </b>a casa tem poucos (bastante) empregados.
stage	<i> n</i><b> 1</b> palco.<b> 2</b> teatro, drama.<b> </b><i>he has been on the stage for twenty years now </i>/<i> </i>ele já trabalha no teatro há vinte anos. <b>3</b> profissão de ator, elenco.<b> </b><i>she goes on the stage </i>/<i> </i>ela vai ser atriz. <b>4</b> cena de ação.<b> 5</b> plataforma, tablado.<b> 6</b> andaime, estrado. <b>7</b> trecho, distância parcial percorrida em viagem, etapa.<i> they travelled by easy stages </i>/<i> </i>viajaram em etapas folgadas. <b>8</b> período, passo, estágio, fase. <b>9</b> degrau. <b>10</b> platina de microscópio. <b>11 </b>cadafalso, patíbulo. <b>12 </b>diligência, carruagem, ônibus. <b>13 </b>parada. <i>I shall get down at the next stage </i>/<i> </i>vou descer na próxima parada. • <i>vt+vi</i><b> 1</b> encenar, arranjar.<b> 2</b> prestar-se para o teatro. <b>at this stage of development </b>nesta fase do desenvolvimento. <b>at this stage of life</b> neste período da vida.<b> back stage </b>bastidor (de teatro). <b>stage by stage </b>passo a passo.<b> stages</b> <b>of appeal </b>instâncias de apelação. <b>to hold the</b> <b>stage </b><i>fig</i> formar o ponto de atração. <b>to set the stage </b>preparar o terreno, tornar possível.
stagecraft	<i> n</i><b> </b>arte de escrever ou encenar peças teatrais.
stain	<i> n</i><b> 1</b> mancha, coloração mordente.<b> 2</b> descoloração, pinta, mancha de cor diferente.<b> 3</b> mácula. • <i>vt+vi</i><b> 1</b> sujar, manchar, borrar, descolorar.<b> 2</b> tingir, colorir, tratar com mordente.<b> 3</b> ficar tingido ou colorido.<b> 4</b> macular, difamar. <b>stained glass </b>vidro colorido, vitral.
stair	<i>n </i><b>1</b> degrau.<b> 2</b> escada, escadaria (também <b>stairs</b><i> pl</i>) <b>are you upstairs or downstairs?</b> você<b> </b>está no andar de cima ou no de baixo?<b> below stairs</b> no porão, no andar subtérreo, com os empregados.<b> flight of stairs </b>lance de escada. <b>go downstairs, upstairs! </b>vá para<b> </b>baixo, para cima!
stake	<b> </b><i>n</i><b> 1</b> estaca, poste, mourão, suporte, fueiro.<b> 2</b> poste em que se amarravam e queimavam pessoas, queimadeiro, fogueira, execução por queimação. • <i>vt</i><b> 1</b> fixar, segurar em poste ou estaca, empalar, estaquear.<b> 2</b> <i>Amer</i> marcar, delimitar com estacas. <b>to stake a claim </b>fazer valer direitos.<b> to stake in </b>fixar<b> </b>com estaca. <b>to stake out</b> demarcar (terra).<i> n</i><b> 1</b> aposta, dinheiro apostado.<b> </b><i>he swept the stakes </i>/<i> </i>ele ganhou a bolada. <b>2</b> prêmio (de corrida ou competição esportiva).<b> 3</b> risco, interesse, parte, ação.<i> he has a stake in the project </i>/<i> </i>ele tem interesse no projeto. • <i>vt</i> apostar. <b>at stake </b>em jogo, em risco.<i> there is too much at stake </i>/<i> </i>tem muito em jogo.<b> cumulative stake </b>prêmio acumulado. <b>to</b> <b>pull up stakes </b><i>coll </i>mudar-se. <b>to stake out a claim to something </b><i>sl</i><b> </b>reclamar o direito a algo. <b>to stake someone to something </b><i>Amer sl </i>emprestar, financiar.
stallholder	<b> </b><i>n </i>mercador, comerciante dono de banca.
stalwartly	<i>adv</i> fortemente, corajosamente, lealmente.
stammeringly	<i>adv</i> de forma gaga.
stamp	<i> n</i><b> 1</b> ato de bater (o pé), batida de pé.<b> 2</b> pilão (para britar pedra).<b> 3</b> britador, moinho.<b> 4</b> carimbo, cunho, timbre,<b> </b>sinete. <b>5</b> marca, impressão, matriz, timbre, selo.<b> </b><i>his work bears the stamp of genius </i>/<i> </i>sua obra mostra o cunho do gênio. <b>6</b> selo, estampilha. <i>to put a stamp on the letter </i>/<i> </i>selar<b> </b>a carta.<b> 7</b> expressão, sinal, traço. <b>8</b> tipo, caráter, temperamento, espécie. <i>he set his stamp upon his period </i>/<i> </i>ele imprimiu seu caráter à sua época. • <i>vt+vi</i><b> 1</b> bater o pé (com força).<b> 2</b> andar com passos pesados.<b> 3</b> gravar, fixar (na memória).<b> 4</b> bater, esmagar, pisar, quebrar, britar.<b> 5</b> imprimir, estampar, gravar, cunhar.<b> </b><i>it was stamped on his mind </i>/<i> </i>estava gravado na sua memória. <b>6</b> caracterizar, identificar, carimbar. <i>that stamped him as a fool </i>/<i> </i>isso o caracterizou como tolo. <b>7</b> selar, estampilhar. <b>8</b> recortar com punção. <b>a woman of her stamp </b>uma mulher do seu caráter.<b> food stamp</b> vale alimentação. <b>rubber stamp </b>carimbo de borracha. <b>to stamp down </b>pisar, apagar pisando. <b>to stamp out</b> a) estampar.<b> </b>b)<i> fig</i> aniquilar, erradicar.
stand	<i> n</i> <b>1 </b>parada, pausa, descanso.<b> 2</b> resistência, defesa.<b> 3</b> lugar, posto, posição, estação, ponto.<b> 4</b> plataforma, tribuna, estrado.<b> 5</b> andaime, suporte, estante.<b> 6</b> estande: recinto reservado a cada participante de uma exposição. <b>7</b> barraca, tenda, banca (de jornais e revistas). <b>8</b> grupo de árvores ou plantas. <b>9 </b><i>coll </i>loja, local de negócio. <b>10 </b><i>Amer </i>banco onde as testemunhas depõem. <b>11 </b>arquibancada. <b>12 </b>descanso, suporte. <b>13 </b>pé, pedestal. • <i>vt+vi</i> (<i>ps,</i> <i>pp</i> <b>stood</b>)<b> 1 </b>estar em pé.<b> 2</b> ter certa altura quando em pé, medir.<b> 3</b> levantar, ficar em pé.<b> 4</b> estar situado ou localizado,<b> </b>encontrar-se.<b> 5</b> colocar, encostar, pôr em pé.<b> </b><i>don’t stand the umbrella against the table! </i>/<i> </i>não encoste o guarda-chuva na mesa! <b>6</b> estar colocado, ocupar certo lugar ou cargo. <b>7</b> manter em certa posição. <b>8</b> sustentar. <b>9</b> estar, ser, encontrar-se. <b>10</b> continuar, permanecer, resistir, oferecer resistência.<b> 11</b> tolerar, agüentar. <i>I can’t stand him </i>/<i> </i>não o posso tolerar. <i>I can’t stand it any longer </i>/<i> </i>não agüento mais isso. <i>I can’t stand it </i>/<i> </i>não tolero isso. <i>there is no standing her stupidity </i>/<i> </i>ninguém agüenta sua estupidez. <b>12</b> juntar-se, acumular-se. <b>13</b> durar. <b>14</b> sofrer, submeter-se, suportar. <b>15</b> custear, pagar. <i>it stands me in eight dollars </i>/<b> </b><i>coll </i>isso me custa oito dólares. <i>I’ll stand you a bottle </i>/<i> </i>pago-lhe uma garrafa, convido-o para tomar um drinque. <b>16</b> manter um certo rumo. <b>17</b> parar, paralisar, ficar parado, estagnar. <b>18</b> valer, estar em vigor. <b>19</b> candidatar-se.<i> he stands for Parliament </i>/<i> </i>ele é candidato ao parlamento. <b>20 </b><i>coll </i>dar ou pagar conforme o trato.<b> as it stands, as the case stands, as matters stand </b>como estão<b> </b>as coisas, pela situação atual.<b> and there it stands! </b>basta! está encerrado o assunto! <b>he stands</b> <b>no nonsense </b>com<b> </b>ele não se brinca.<b> he stands out like a sore thumb </b><i>Amer sl</i> ele chama a atenção (de maneira desagradável). <b>how do we stand?</b> como estamos? qual é a situação? <b>it stands at that (cost) price </b>o preço de custo é este. <b>it stands to</b> <b>reason </b>é plausível, evidente, razoável. <b>stand off! </b>saia de perto! vá embora! <b>stand or fall </b>vitória ou morte! <b>the thermometer stands at 35</b>° o termômetro marca 35°. <b>the things I stand up in </b>o que tenho no corpo (roupa). <b>to</b> <b>be at a</b> <b>stand </b>estar parado, estar perplexo, estar em dúvida, indeciso. <b>to come to a stand </b>chegar a um impasse. <b>to make a stand </b>parar, resistir, oferecer resistência, opor-se. <b>to make a stand for</b><i> </i><b>something </b>insistir em alguma coisa, responder por alguma coisa. <b>to take a firm stand </b>ocupar uma posição firme. <b>to take one’s stand </b>tomar posição, colocar-se. <b>to take the stand </b><i>Jur </i>depor. <b>to stand about </b>ficar à toa, rodear. <b>to</b> <b>stand against </b>oferecer resistência, destacar-se de. <b>to stand a good chance </b>ter boas probabilidades. <b>to stand a comparison </b>poder enfrentar uma comparação. <b>to stand alone </b>estar sozinho, estar sem auxílio, estar em posição isolada. <b>to</b> <b>stand aloof </b>manter-se de lado, afastar-se. <b>to stand aside </b>sair ao caminho, ficar de lado. <b>to stand at attention</b><i> Mil</i><b> </b>tomar sentido. <b>to stand back</b> afastar-se, recuar. <b>to stand between </b>estar no caminho, estar no meio. <b>to stand by</b> estar presente, estar ao lado, assistir, estar de prontidão, manter (palavra). <b>to stand by a thing</b> defender uma coisa. <b>to stand by one through thick and thin </b>prestar assistência a outrem em qualquer vicissitude. <b>to stand by one’s word</b> manter sua palavra. <b>to stand by</b> <b>someone</b> assistir alguém, acudir. <b>to stand condemned</b> estar condenado. <b>to stand corrected </b>conformar-se com a pena, reconhecer seu erro.<b> to stand down </b>a)<b> </b>abdicar (em favor de outrem). b)<b> </b><i>Brit </i>dar baixa (soldados). c)<b> </b>deixar o banco de testemunhas. <b>to stand fast</b> resistir, não ceder. <b>to stand fire </b>resistir à prova (suportar o fogo do inimigo). <b>to stand first </b>ser o primeiro, estar em primeiro lugar. <b>to stand for</b> a)<b> </b>significar, querer dizer. b)<b> </b>pretender. c)<b> </b>ter rumo para, velejar para. d)<b> </b>auxiliar. e)<b> </b>ser responsável por, representar. <b>to stand forth</b> mostrar-se, salientar-se. <b>to stand from</b><i> Naut</i><b> </b>vir de, ter rumo de, velejar de. <b>to stand gaping </b>ficar de boca aberta, boquiaberto. <b>to stand godfather (to) </b>ser padrinho (de). <b>to stand good </b>ter valor, estar válido. <b>to</b> <b>stand high</b> ter bom nome, ter boa fama.<b> to stand in</b><i> </i>a)<b> </b><i>Naut</i> velejar em direção à terra. b)<b> </b>substituir alguém (serviço). <b>to stand in awe</b> ter temor de. <b>to</b> <b>stand in fear</b> ter medo de. <b>to stand in line </b>ficar na fila. <b>to stand in need of</b> ter necessidade de, precisar. <b>to stand in<i> </i>someone’s way</b> estar no caminho de alguém, atrapalhar alguém, impedir alguém.<b> to stand off </b>ficar de lado, afastar-se, retroceder, retrair-se, recusar-se, protelar (pagamento),<i> Naut</i> ficar ao largo. <b>to</b> <b>stand off from</b><i> Naut</i><b> </b>afastar-se de.<b> to</b> <b>stand on</b> basear-se em alguma coisa, contar com alguma coisa. <b>to</b> <b>stand on</b> <b>ceremony </b>fazer cerimônias. <b>to stand on end </b>estar em pé (cabelos). <b>to stand one’s ground </b>manter-se, defender-se, ficar firme, não ceder. <b>to stand on one’s dignity </b>fazer questão da sua dignidade. <b>to stand on one’s head </b>ficar de ponta-cabeça, ficar de pernas para o ar.<b> to stand one’s tackling </b>manter seu ponto de vista.<b> to stand on one’s right </b>insistir em seu direito. <b>to stand on your own two feet </b>ser independente, ser auto-suficiente, andar com as próprias pernas. <b>to</b> <b>stand out</b> salientar-se, distinguir-se, sobressair, resistir, não ceder. <b>to stand out for</b> insistir em. <b>to stand over</b> ficar, sobrar, ficar em atraso, adiar, protelar. <b>to stand pat</b> <i>Amer</i> a)<b> </b>conformar-se, opor-se a mudanças. b)<b> </b><i>Game </i>não pedir cartas, passar. <b>to stand</b> <b>ready</b> <b>to </b>prontificar-se, dispor-se a. <b>to stand security </b>dar fiança, garantir. <b>to</b><i> </i><b>stand someone friend </b>mostrar-se amigo para alguém. <b>to stand someone up </b>faltar a um encontro. <b>to stand something on its head </b>mudar de repente, virar de pernas para o ar. <b>to stand still </b>imobilizar-se, ficar parado. <b>to stand the test </b>(ou <b>a trial</b>)<b> </b>passar a prova. <b>to stand to</b> a)<b> </b>permanecer, manter. b)<b> </b>aderir a. c)<b> </b>apoiar, defender.<b> </b><i>she stood to him </i>/<i> </i>ela o defendeu. <b>to stand trial </b>ser submetido a julgamento. <b>to stand up</b> a) levantar-se. b) <i>Amer</i> decepcionar, abandonar, deixar na mão. <b>to stand up against </b>levantar-se contra, rebelar-se, lutar contra. <b>to stand up for </b>defender, apoiar, tomar o partido de. <b>to stand upon </b>insistir em, basear-se em. <b>to</b> <b>stand upon one’s guard </b>tomar cuidado, precaver-se.<b> to stand up to</b> encarar, enfrentar. <b>to stand well with </b>dar-se bem com, ter amizade<i> </i>com.<b> what stand do you take? </b>qual é<b> </b>a sua opinião?
standard	<i> n</i><b> 1</b> padrão, critério, protótipo, modelo, regra, norma, medida, nível.<b> </b><i>they judge me by their standard </i>/<b> </b>eles me julgam pelo seu padrão. <i>they applied another standard </i>/<i> </i>aplicaram outro critério. <i>she is not up to the standard </i>/<i> </i>ela não corresponde às exigências. <i>the standard of this book is very high </i>/<i> </i>este livro é de um nível muito alto. <b>2</b> medida ou peso padrão.<b> 3</b> bandeira, emblema, símbolo, estandarte.<b> 4</b> suporte, coluna.<b> 5</b> árvore ou arbusto com um tronco liso e direito. <b>6 </b>base, pedestal. •<i> adj</i><b> 1</b> padrão, que serve de padrão.<b> 2</b> excepcional, modelar, exemplar.<b> 3</b> legal, oficial.<b> 4 </b>clássico. <b>5 </b>normal, comum.<b> above (below) the standard </b>acima (abaixo) da média.<b> standard of living</b> nível de vida, padrão de vida.
star	<i> n</i> <b>1</b> estrela.<b> 2</b> astro, corpo celeste. <b>3</b> figura em forma de estrela.<b> 4</b> asterisco.<b> 5</b> ator, atriz, pessoa que se distingue em alguma arte (estrela de cinema, de teatro). <b>6</b> insígnia. <b>7</b><i> fig</i> sorte, fortuna, destino, horóscopo. • <i>vt+vi </i>(<i>ps, pp </i><b>starred</b>) <b>1</b> estrelar, colocar estrelas, ornamentar com estrelas. <i>the picture is starring a new actress </i>/<i> </i>o filme apresenta uma nova estrela. <b>2</b> marcar com asterisco.<b> 3</b> brilhar, ser proeminente ou célebre.<b> 4</b> representar como estrela. •<i> adj</i> principal, excelente, célebre, talentoso. <b>a three-star hotel </b>hotel três estrelas. <b>fixed star </b>estrela fixa.<b> his star has set</b><i> fig</i><b> </b>ele está em decadência. <b>his star is in the ascendant</b><i> fig</i><b> </b>sua estrela é ascendente. <b>shooting star </b>estrela cadente.<b> stars and bars </b><i>Amer</i> bandeira da confederação.<b> stars and stripes </b>bandeira dos EUA.<b> thank your stars that you have escaped </b>dê graças a Deus,<b> </b>agradeça à sua boa estrela por ter escapado.<b> the Star-Chamber </b><i>Brit </i>corte, tribunal da Idade Média. <b>to see stars </b><i>coll </i>ver estrelas, ter a sensação de ver pontos de luz resultante de um golpe na cabeça.<b> under an unlucky star</b><i> fig</i><b> </b>sem sorte.
stardust	<i> n</i><b> 1</b><i> Astr</i> poeira estelar.<b> 2</b> <i>coll </i>encanto, devaneio.
stargaze	<b> </b><i>vi </i><b>1 </b>olhar, observar as estrelas. <b>2 </b>sonhar de olhos abertos, devanear.
stargazing	<b> </b><i>n </i><b>1 </b>ato de olhar as estrelas. <b>2 </b>distração. <b>3 </b>devaneio.
starkers	<b> </b><i>adj coll </i>nu em pêlo, completamente nu.
start	<i> n</i><b> 1</b> partida, começo (de um movimento, de viagem, de corrida, etc.).<b> 2</b> começo, início, princípio.<b> 3</b> arranco, impulso, ímpeto.<b> 4</b> sobressalto, susto.<b> 5</b> vantagem, dianteira.<b> 6</b> lugar de partida. <b>7</b> arranque (motor). •<i> vt+vi</i><b> 1</b> partir, pôr-se em movimento, levantar vôo, zarpar, embarcar, sair de viagem.<b> 2</b> começar, iniciar.<b> 3</b> dar partida (de motor), fazer começar.<b> 4</b> encaminhar, auxiliar no início.<b> 5</b> sobressaltar-se, espantar-se, assustar-se, fazer um movimento brusco, estancar.<b> 6</b> vir, sair, brotar repentinamente, pegar. <b>7</b> levantar, assustar (caça). <b>8</b> soltar, ceder. <b>9</b> provocar, originar. <b>10</b> fundar (negócio). <b>by fits and starts </b>aos poucos, aos trancos. <b>for a start </b>primeiro, em primeiro lugar. <b>from start to finish </b>do princípio ao fim. <b>to get off to a good</b>/<b>a bad start </b>começar bem.<b> to get </b>ou<b> have the start of someone </b>tomar a dianteira de alguém. <b>to give someone a start </b>a)<b> </b>dar vantagens para alguém no começo de um negócio, de uma competição, etc. b) surpreender ou assustar alguém. c)<b> </b>dar um emprego a alguém. <i>he gave me a start </i>/<i> </i>ele me assustou. <b>to have a false start </b>ter um mau começo. <b>to make a new</b> <b>start </b>começar de novo. <b>to start a family </b>ter o primeiro filho. <b>to start after </b>sair à procura de. <b>to start back </b>assustar-se, retroceder bruscamente.<b> to start doing</b> começar a fazer (alguma coisa). <b>to</b> <b>start forward</b> pular para a frente. <b>to start from scratch </b>começar do nada, começar do zero. <b>to start in business</b> começar um negócio.<b> to start out </b>(ou<b> off</b>)<b> </b>partir, levantar-se, pôr-se em marcha. <b>to start over</b> <i>Amer</i> começar de novo. <b>to start up</b> a)<b> </b>levantar-se bruscamente. b)<b> </b>dar partida (motor). c)<b> </b>fundar, abrir (um negócio). <b>to start with</b> para começar, primeiro, em primeiro lugar.
